spot,time,occupied,occID
64,6:00 AM,JBG,50
64,7:00 AM,JBG,50
64,8:00 AM,JBG,50
64,9:00 AM,JBG,50
64,10:00 AM,JBG,50
64,11:00 AM,JBG,50
64,12:00 PM,8DZ,50
64,1:00 PM,924,50
64,2:00 PM,,1
64,3:00 PM,456,50
64,4:00 PM,,1
64,5:00 PM,,1
64,6:00 PM,LRS,50
64,7:00 PM,LRS,50
64,8:00 PM,LRS,50
65,6:00 AM,AEW,50
65,7:00 AM,AEW,50
65,8:00 AM,AEW,50
65,9:00 AM,AEW,50
65,10:00 AM,85N,50
65,11:00 AM,3LS,50
65,12:00 PM,3LS,50
65,1:00 PM,7JM,50
65,2:00 PM,7JM,50
65,3:00 PM,UTJ,50
65,4:00 PM,1KM,50
65,5:00 PM,,1
65,6:00 PM,8CF,50
65,7:00 PM,5LB,50
65,8:00 PM,5LB,50
66,6:00 AM,441,50
66,7:00 AM,441,50
66,8:00 AM,,1
66,9:00 AM,,1
66,10:00 AM,374,50
